codigo,nombre,poblacion
01001,Alegría-Dulantzi,2971
01002,Amurrio,10330
01003,Aramaio,1381
01004,Artziniega,1856
01006,Armiñón,247
01008,Arratzua-Ubarrundia,1047
01009,Asparrena,1611
01010,Ayala/Aiara,2942
01011,Baños de Ebro/Mañueta,291
01013,Barrundia,879
01014,Berantevilla,459
01016,Bernedo,546
01017,Campezo/Kanpezu,1085
01018,Zigoitia,1844
01019,Kripan,178
01020,Kuartango,408
01021,Elburgo/Burgelu,642
01022,Elciego,955
01023,Elvillar/Bilar,319
01027,Iruraiz-Gauna,553
01028,Labastida/Bastida,1565
01030,Lagrán,170
01031,Laguardia,1478
01032,Lanciego/Lantziego,685
01033,Lapuebla de Labarca,859
01034,Leza,210
01036,Laudio/Llodio,17982
01037,Arraia-Maeztu,822
01039,Moreda de Álava/Moreda Araba,215
01041,Navaridas,191
01042,Okondo,1194
01043,Oyón-Oion,3413
01044,Peñacerrada-Urizaharra,302
01046,Erriberagoitia/Ribera Alta,845
01047,Ribera Baja/Erriberabeitia,1439
01049,Añana,142
01051,Agurain/Salvatierra,5155
01052,Samaniego,290
01053,San Millán/Donemiliaga,720
01054,Urkabustaiz,1462
01055,Valdegovía/Gaubea,1072
01056,Harana/Valle de Arana,214
01057,Villabuena de Álava/Eskuernaga,290
01058,Legutio,2086
01059,Vitoria-Gasteiz,257968
01060,Yécora/Iekora,265
01061,Zalduondo,194
01062,Zambrana,442
01063,Zuia,2372
01901,Iruña Oka/Iruña de Oca,3625
01902,Lantarón,926
02001,Abengibre,759
02002,Alatoz,497
02003,Albacete,174137
02004,Albatana,663
02005,Alborea,676
02006,Alcadozo,641
02007,Alcalá del Júcar,1117
02008,Alcaraz,1304
02009,Almansa,24281
02010,Alpera,2260
02011,Ayna,608
02012,Balazote,2379
02013,Balsa de Ves,124
02014,Ballestero  El,413
02015,Barrax,1864
02016,Bienservida,552
02017,Bogarra,748
02018,Bonete,970
02019,Bonillo  El,2624
02020,Carcelén,487
02021,Casas de Juan Núñez,1361
02022,Casas de Lázaro,311
02023,Casas de Ves,548
02024,Casas-Ibáñez,4591
02025,Caudete,10249
02026,Cenizate,1160
02027,Corral-Rubio,302
02028,Cotillas,126
02029,Chinchilla de Monte-Aragón,4626
02030,Elche de la Sierra,3596
02031,Férez,605
02032,Fuensanta,287
02033,Fuente-Álamo,2417
02034,Fuentealbilla,1799
02035,Gineta  La,2635
02036,Golosalvo,85
02037,Hellín,30812
02038,Herrera  La,303
02039,Higueruela,1142
02040,Hoya-Gonzalo,593
02041,Jorquera,358
02042,Letur,922
02043,Lezuza,1305
02044,Liétor,1063
02045,Madrigueras,4658
02046,Mahora,1465
02047,Masegoso,116
02048,Minaya,1387
02049,Molinicos,785
02050,Montalvos,81
02051,Montealegre del Castillo,2038
02052,Motilleja,668
02053,Munera,3395
02054,Navas de Jorquera,533
02055,Nerpio,1150
02056,Ontur,1890
02057,Ossa de Montiel,2216
02058,Paterna del Madera,339
02059,Peñascosa,328
02060,Peñas de San Pedro,1466
02061,Pétrola,665
02062,Povedilla,392
02063,Pozohondo,1553
02064,Pozo-Lorente,386
02065,Pozuelo,467
02066,Recueja  La,221
02067,Riópar,1353
02068,Robledo,393
02069,Roda  La,15610
02070,Salobre,442
02071,San Pedro,1185
02072,Socovos,1662
02073,Tarazona de la Mancha,6117
02074,Tobarra,7947
02075,Valdeganga,1961
02076,Vianos,320
02077,Villa de Ves,55
02078,Villalgordo del Júcar,1128
02079,Villamalea,3973
02080,Villapalacios,562
02081,Villarrobledo,25262
02082,Villatoya,113
02083,Villavaliente,201
02084,Villaverde de Guadalimar,310
02085,Viveros,305
02086,Yeste,2509
02901,Pozo Cañada,2692
03001,Atzúbia  l',594
03002,Agost,5107
03003,Agres,610
03004,Aigües,1189
03005,Albatera,13296
03006,Alcalalí,1406
03007,Alcosser,259
03008,Alcoleja,186
03009,Alcoi/Alcoy,60372
03010,Alfafara,413
03011,Alfàs del Pi  l',20160
03012,Algorfa,3684
03013,Algueña,1342
03014,Alacant/Alicante,358720
03015,Almoradí,22464
03016,Almudaina,118
03017,Alqueria d'Asnar  l',519
03018,Altea,23963
03019,Aspe,21969
03020,Balones,131
03021,Banyeres de Mariola,7307
03022,Benasau,171
03023,Beneixama,1679
03024,Benejúzar,5697
03025,Benferri,2053
03026,Beniarbeig,2384
03027,Beniardà,235
03028,Beniarrés,1096
03029,Benigembla,559
03030,Benidoleig,1219
03031,Benidorm,74663
03032,Benifallim,116
03033,Benifato,144
03034,Benijófar,3471
03035,Benilloba,747
03036,Benillup,109
03037,Benimantell,548
03038,Benimarfull,447
03039,Benimassot,96
03040,Benimeli,453
03041,Benissa,12317
03042,Poble Nou de Benitatxell  el/Benitachell,4851
03043,Biar,3634
03044,Bigastro,7431
03045,Bolulla,486
03046,Busot,3629
03047,Calp,26821
03048,Callosa d'en Sarrià,7959
03049,Callosa de Segura,19658
03050,Campello  el,30600
03051,Camp de Mirra  el/Campo de Mirra,445
03052,Cañada,1225
03053,Castalla,11622
03054,Castell de Castells,444
03055,Catral,9423
03056,Cocentaina,11411
03057,Confrides,296
03058,Cox,7622
03059,Crevillent,30585
03060,Quatretondeta,134
03061,Daya Nueva,1832
03062,Daya Vieja,657
03063,Dénia,46942
03064,Dolores,8102
03065,Elx/Elche,243128
03066,Elda,53818
03067,Fageca,100
03068,Famorca,44
03069,Finestrat,9352
03070,Formentera del Segura,4749
03071,Gata de Gorgos,6659
03072,Gaianes,553
03073,Gorga,284
03074,Granja de Rocamora,2739
03075,Castell de Guadalest  el,282
03076,Guardamar del Segura,18111
03077,Fondó de les Neus  el/Hondón de las Nieves,2696
03078,Hondón de los Frailes,1310
03079,Ibi,24210
03080,Jacarilla,2122
03081,Xaló,3042
03082,Xàbia/Jávea,30131
03083,Xixona/Jijona,7307
03084,Orxa  l'/Lorcha,581
03085,Llíber,905
03086,Millena,249
03088,Monforte del Cid,8967
